review,sentiment
"This movie was an absolute masterpiece with stunning visuals and a brilliant cast.",1
"I hated every minute of this film. It was boring, slow, and the acting was terrible.",0
"A truly inspiring story that moved me to tears. The direction was flawless.",1
"Waste of money and time. The plot made no sense and the ending was frustrating.",0
"The cinematography was breathtaking and the soundtrack was perfectly composed.",1
"I fell asleep halfway through. This is easily the worst movie of the year.",0
"An incredible performance by the lead actor. A must-watch for all cinema lovers!",1
"The script was weak and the special effects looked incredibly cheap and fake.",0
"I loved the character development and the witty dialogue. Highly recommended.",1
"Avoid this movie at all costs. It was a complete disaster from start to finish.",0
"A beautiful tale of love and friendship. It left me feeling so happy.",1
"Disappointing and predictable. I expected much more from such a famous director.",0
